,,0
A2C_F05,mean,0.43895824654666665
A2C_F05_sd,mean,0.06888964678666666
A2C_F1,mean,0.44285022684
A2C_F1_sd,mean,0.07079744085333332
A2C_Pr,mean,0.44808716189333336
A2C_Pr_sd,mean,0.07448084917333332
A2C_Rc,mean,0.47846666666666665
A2C_Rc_sd,mean,0.08442870831999999
DQN_F05,mean,0.3249099176533333
DQN_F05_sd,mean,0.06283891246666667
DQN_F1,mean,0.3433953595333333
DQN_F1_sd,mean,0.03834180321333334
DQN_Pr,mean,0.41544376892000007
DQN_Pr_sd,mean,0.19594174437333328
DQN_Rc,mean,0.4621333333333333
DQN_Rc_sd,mean,0.03335894080000001
PPO_F05,mean,0.3752505043866667
PPO_F05_sd,mean,0.10672386628
PPO_F1,mean,0.3341830130133333
PPO_F1_sd,mean,0.09335951244
PPO_Pr,mean,0.44661141956
PPO_Pr_sd,mean,0.14668673940000002
PPO_Rc,mean,0.3064
PPO_Rc_sd,mean,0.09024744698666667
RF_F05,mean,0.8521168806800001
RF_F05_sd,mean,0.04175091298666667
RF_F1,mean,0.8424634026533333
RF_F1_sd,mean,0.043045105013333335
RF_Pr,mean,0.8656895311733332
RF_Pr_sd,mean,0.041979361
RF_Rc,mean,0.8472666666666667
RF_Rc_sd,mean,0.0538132136
