,,0
A2C_F05,mean,0.4354250670666666
A2C_F05_sd,mean,0.07927957853333334
A2C_F1,mean,0.4192506916666667
A2C_F1_sd,mean,0.07501026626666667
A2C_Pr,mean,0.48302777713333334
A2C_Pr_sd,mean,0.10147433153333334
A2C_Rc,mean,0.447
A2C_Rc_sd,mean,0.08074692953333333
DQN_F05,mean,0.3055758994
DQN_F05_sd,mean,0.08233389453333334
DQN_F1,mean,0.28866245953333336
DQN_F1_sd,mean,0.04933301113333333
DQN_Pr,mean,0.4736827601333333
DQN_Pr_sd,mean,0.24814768386666666
DQN_Rc,mean,0.36533333333333334
DQN_Rc_sd,mean,0.0382129646
PPO_F05,mean,0.4361207123333333
PPO_F05_sd,mean,0.10439072253333333
PPO_F1,mean,0.38974271006666666
PPO_F1_sd,mean,0.1009050238
PPO_Pr,mean,0.4981151881333334
PPO_Pr_sd,mean,0.12140057573333334
PPO_Rc,mean,0.3539999999999999
PPO_Rc_sd,mean,0.10347701306666666
RF_F05,mean,0.8218868520666667
RF_F05_sd,mean,0.0522274612
RF_F1,mean,0.7813875459999999
RF_F1_sd,mean,0.05502900119999999
RF_Pr,mean,0.8587992333333333
RF_Pr_sd,mean,0.052763087333333326
RF_Rc,mean,0.7386666666666667
RF_Rc_sd,mean,0.06940975826666666
