,expt_n,environment,environment_info,data_file,model_file,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file_tested
0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1.0,0.65,0.7867431430050026,0.9016624742002065,0.0,0.05270462766947297,0.03951937671345278,0.02119116987049728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5026315789473684,0.99,0.6666861484511981,0.5575008809020436,0.010284831311871169,0.021081851067789224,0.012013749576565504,0.010795085915925456,0.21666666666666665,0.04,0.06648221343873517,0.11160714285714284,0.20077012221769613,0.03944053188733077,0.06393441875922344,0.1036979249415735,models/RF_Model_Dasic_NoNBD.mdl
1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9086847058357357,0.9650000000000001,0.934875346812386,0.9187369128317403,0.04815544925679794,0.041163630117428206,0.02999316986020721,0.039194368979716974,0.5008377230784352,0.44000000000000006,0.4659949775006786,0.4855438579980914,0.12245685579485098,0.1449137674618944,0.13291779216030872,0.1261965165757694,0.35,0.025,0.04632034632034631,0.0952380952380952,0.4743416490252569,0.03535533905932738,0.06498474931036559,0.1314624505831543,0.25,0.04,0.06851119894598154,0.12028769841269842,0.19245008972987523,0.03162277660168379,0.053414101015169885,0.09200204070716081,models/RF_Model_Dasic_LowNBD.mdl
2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.90309053265575,0.97,0.9349315290495097,0.9154731379731379,0.03112261110360488,0.03496029493900506,0.02578853574077255,0.02771395557678361,0.5135776221243646,0.5349999999999999,0.5212299742078528,0.5159214707706087,0.11030848183538952,0.08834905520465713,0.0903426576251267,0.1005214649802928,0.41666666666666663,0.030000000000000006,0.05505364201016374,0.11160714285714284,0.4664682117707407,0.03496029493900506,0.06272697352610104,0.12256100298220075,0.3959235209235209,0.125,0.18701249950077145,0.2702791999666999,0.1525961318638906,0.04249182927993987,0.0642723221890943,0.09702339562733853,models/RF_Model_Dasic_HighNBD.mdl
3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.8365868728694815,0.99,0.905661754373573,0.862686527233941,0.07052749638074432,0.021081851067789224,0.045863150632809026,0.061455738997149914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09857142857142856,0.030000000000000006,0.04589173789173788,0.06742424242424241,0.10944441566812471,0.03496029493900506,0.05274554959891746,0.07623586392420946,0.544645542308211,0.6900000000000001,0.6074343401512894,0.5678968144354011,0.07603949996183407,0.11005049346146117,0.0850422939190702,0.07832797763487712,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.9003311587793013,0.85,0.8732449334888359,0.8889681152181153,0.04344627559120062,0.06666666666666665,0.047089433412889674,0.04138941342460896,0.5831873913123913,0.76,0.6585052474506684,0.6109118024701312,0.07746945631352661,0.06582805886043837,0.06903774264641457,0.07427412253046822,0.01,0.005,0.006666666666666659,0.00833333333333333,0.0316227766016838,0.0158113883008419,0.021081851067789172,0.026352313834736484,0.5510482654600302,0.465,0.5004246077930288,0.5285710364514713,0.12228940703943464,0.1375378735718517,0.11880229146855809,0.11746249952580866,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.7504678558156819,0.9400000000000001,0.8339749320757432,0.7816676681100694,0.03483148160537995,0.03162277660168377,0.023974445462955747,0.03015974081650479,0.4868562951496388,0.42000000000000004,0.4503640077324288,0.471392104272539,0.07940717082480157,0.08232726023485647,0.07990637159029079,0.0791919768176793,0.23333333333333334,0.015000000000000003,0.027743271221532084,0.05729166666666665,0.41722185234485754,0.0241522945769824,0.04472773842484717,0.09333111149802506,0.3688492063492063,0.155,0.21247762626623193,0.2793181695755225,0.2055391481879053,0.1091634859587521,0.13781184880454958,0.16677046735576306,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.8623072998702289,0.96,0.9065731520637931,0.8790572853072852,0.06553395817992824,0.03944053188733078,0.033997192094025915,0.05204445159463666,0.5432174578295268,0.6900000000000001,0.6021629415483998,0.5641306221928823,0.04250309861865914,0.154200446749605,0.0834707541333017,0.05406643515334746,0.31687192118226604,0.45,0.371782819510783,0.33675316717596127,0.02023369545750814,0.03333333333333332,0.024487071367980402,0.02161259635092157,0.62,0.08,0.1370739695087521,0.24489087301587298,0.3352537273892642,0.053748384988657014,0.08508501212349776,0.1326062427423367,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.7046706805327495,0.985,0.8212389636705746,0.747037735548765,0.03236699985554122,0.024152294576982425,0.026412208066302435,0.030329731970924843,0.4384441175402274,0.4600000000000001,0.4461102957642492,0.440783146843806,0.0557203505722517,0.08432740427115679,0.05694235690342809,0.05216744982167579,0.5014188277346172,0.97,0.6609153655617711,0.5549745285281303,0.011468489194599769,0.03496029493900506,0.014598804674479866,0.012098060465828136,0.4835347985347985,0.3,0.36682908116224544,0.4270819866408101,0.11354400327129001,0.07817359599705716,0.08463812991497022,0.0946476511305854,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.7078676434168425,0.745,0.7251657597460206,0.7145080382580382,0.04511449848251865,0.08644201653259961,0.06308097672884125,0.05151248710522246,0.4364969417718778,0.465,0.44738989853400185,0.44006695823211495,0.0896285707582881,0.14346892811104894,0.11354383816868512,0.0984522862067897,0.36666666666666664,0.025,0.04596273291925465,0.09374999999999999,0.48304589153964794,0.035355339059327376,0.06353555686170766,0.12471031247269422,0.4612354312354312,0.215,0.2890782143329418,0.3690566378066378,0.2012901473143564,0.12030054955079061,0.14846149209578863,0.17347679520938927,models/RF_Model_PHM_C04_SS_HighNBD.mdl
9,9,SS,PHM C06 simple (NT) NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_NoNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,1.0,0.6900000000000001,0.8136698698618204,0.9150130494608218,0.0,0.09067647005823629,0.06011169113426865,0.029401931206687732,0.5196272411375386,0.545,0.5286494633925557,0.5223960130549804,0.07151975288415945,0.1300640867675111,0.09453427752646236,0.07866342316346656,0.5053324579640368,0.9800000000000001,0.6667251120202611,0.5594986408939897,0.014049128744386187,0.025819888974716137,0.016118042240909507,0.014705933002391402,0.5359003807649525,0.755,0.6259601350443164,0.5684920318207202,0.031103323586459966,0.09559753599799989,0.052343168785812244,0.03780632046979716,models/RF_Model_PHM_C06_SS_NoNBD.mdl
