,,0
A2C_F05,mean,0.45624978244444453
A2C_F05_sd,mean,0.06317135511111112
A2C_F1,mean,0.4720628957333333
A2C_F1_sd,mean,0.06749674075555555
A2C_Pr,mean,0.4507873024
A2C_Pr_sd,mean,0.0640856908
A2C_Rc,mean,0.5244444444444445
A2C_Rc_sd,mean,0.08523453182222224
DQN_F05,mean,0.3569986447111112
DQN_F05_sd,mean,0.054511487088888894
DQN_F1,mean,0.3892980325777778
DQN_F1_sd,mean,0.03391071253333334
DQN_Pr,mean,0.4184645670444444
DQN_Pr_sd,mean,0.17164079317777778
DQN_Rc,mean,0.5296666666666667
DQN_Rc_sd,mean,0.03194062677777777
PPO_F05,mean,0.3838121967555555
PPO_F05_sd,mean,0.10649551506666667
PPO_F1,mean,0.3487984153111111
PPO_F1_sd,mean,0.09521017011111112
PPO_Pr,mean,0.45012183271111117
PPO_Pr_sd,mean,0.14566494751111111
PPO_Rc,mean,0.3272222222222222
PPO_Rc_sd,mean,0.0946306176
RF_F05,mean,0.8409567121555556
RF_F05_sd,mean,0.042164248155555556
RF_F1,mean,0.8482541911333334
RF_F1_sd,mean,0.042776659644444444
RF_Pr,mean,0.8419866197777778
RF_Pr_sd,mean,0.04284301551111111
RF_Rc,mean,0.8799999999999999
RF_Rc_sd,mean,0.052884705399999996
