,,0
A2C_F05,mean,0.39061681833333334
A2C_F05_sd,mean,0.07565459006666665
A2C_F1,mean,0.3788117553333334
A2C_F1_sd,mean,0.07648671573333334
A2C_Pr,mean,0.4050461251333333
A2C_Pr_sd,mean,0.07867284193333333
A2C_Rc,mean,0.37199999999999994
A2C_Rc_sd,mean,0.0856930166
DQN_F05,mean,0.24797775473333336
DQN_F05_sd,mean,0.06832620653333334
DQN_F1,mean,0.2604202404
DQN_F1_sd,mean,0.04064386733333333
DQN_Pr,mean,0.3481423833333333
DQN_Pr_sd,mean,0.21663865846666672
DQN_Rc,mean,0.35633333333333334
DQN_Rc_sd,mean,0.03275985906666667
PPO_F05,mean,0.28869521933333336
PPO_F05_sd,mean,0.10974206366666667
PPO_F1,mean,0.23477710906666668
PPO_F1_sd,mean,0.08026202806666667
PPO_Pr,mean,0.3845764115333334
PPO_Pr_sd,mean,0.17503827873333333
PPO_Rc,mean,0.19633333333333333
PPO_Rc_sd,mean,0.06386836906666667
RF_F05,mean,0.9158274148666666
RF_F05_sd,mean,0.030034359266666668
RF_F1,mean,0.8861668938666667
RF_F1_sd,mean,0.03186654493333333
RF_Pr,mean,0.9436885631999999
RF_Pr_sd,mean,0.028604671133333332
RF_Rc,mean,0.8576666666666667
RF_Rc_sd,mean,0.041002193533333335
