,expt_n,environment,environment_info,data_file,model_file,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file_tested
0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1.0,0.65,0.7874331550802139,0.9023477812177504,0.0,0.033333333333333326,0.02451655500389516,0.012911835625038422,0.6079831440701006,0.67,0.6342679214880853,0.6174455461524426,0.053420013158005035,0.10055402085998907,0.06546138038057203,0.05424671840364171,0.5066838093153883,0.9800000000000001,0.6678745373076174,0.5608137018020739,0.01412891135031073,0.025819888974716168,0.015604302703411056,0.014580674629089381,0.3,0.05500000000000001,0.0915881220229046,0.1543786075036075,0.21588176919694943,0.03689323936863109,0.06095560379048809,0.10324586593700168,models/RF_Model_Dasic_NoNBD.mdl
1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9342725390551477,0.9650000000000001,0.9487402217748219,0.9398608567358566,0.04831922183745156,0.033747427885527655,0.03310476343894784,0.04130838565113813,0.6673932813832195,0.495,0.563165256855959,0.6195424431734416,0.08529712766666313,0.1279105590289993,0.10238861304890796,0.0877567512959829,0.17788819875776393,0.21000000000000002,0.19249786578204045,0.1834343817102437,0.013692730237571208,0.0210818510677892,0.01617626198232345,0.014435333415956845,0.25,0.030000000000000006,0.053359683794466393,0.10044642857142856,0.3263150034575203,0.03496029493900506,0.062834938548935,0.12100785689948355,models/RF_Model_Dasic_LowNBD.mdl
2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.908363448146057,0.975,0.9400557761391568,0.9206817256817257,0.04171958879220317,0.026352313834736518,0.028058705948875624,0.03571876810636516,0.41757484878009177,0.375,0.39170149783448116,0.4058242143171137,0.13867706276441863,0.1438556375136006,0.13677731574280197,0.13648852235200365,0.35,0.025,0.04632034632034631,0.0952380952380952,0.4743416490252569,0.03535533905932738,0.06498474931036559,0.1314624505831543,0.2944444444444444,0.08499999999999999,0.13079968562727182,0.19485028860028858,0.20369373987862963,0.05296749527356902,0.08272816626780735,0.12680071023462683,models/RF_Model_Dasic_HighNBD.mdl
3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.9136363636363637,0.97,0.9401452206330255,0.9238760560958837,0.06393693352737406,0.04216370213557838,0.046493862733677296,0.0562785044050736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833333333333333,0.030000000000000006,0.055881799360060214,0.11681547619047616,0.4743416490252569,0.025819888974716113,0.04816559817041726,0.10190102711131838,0.4875,0.1,0.1577060041407867,0.25072115384615384,0.2803560897092072,0.06236095644623236,0.08879510417552708,0.12748970975329801,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.9162990810359231,0.915,0.9148046476416181,0.9154898272017838,0.04594070468663548,0.052967495273569,0.03976785643617617,0.04087755381222651,0.4921224630202959,0.42000000000000004,0.451615985563354,0.4745406937478549,0.09754985220217244,0.10055402085998906,0.09862444832656136,0.09771145802914338,0.08333333333333333,0.01,0.017786561264822132,0.03348214285714285,0.18002057495577392,0.0210818510677892,0.0375089350342207,0.07078235710729332,0.4762598765669502,0.49000000000000005,0.48101765825293297,0.477653460669765,0.08241388502940804,0.09944289260117534,0.08636541237316157,0.08273753326258075,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.7246116801184267,0.9550000000000001,0.8230119756312051,0.7608403258664169,0.07787273783575012,0.06433419688539593,0.06906234654703938,0.07456393352890088,0.4853655752572161,0.5,0.49115933442634335,0.4873371858651094,0.06751220204875741,0.08819171036881968,0.07271408004170093,0.06825733799062558,0.2,0.01,0.019047619047619042,0.04166666666666666,0.4216370213557839,0.0210818510677892,0.040155906795788926,0.0878410461157883,0.29523809523809524,0.05500000000000001,0.09129702825354996,0.1532738095238095,0.21913961721171193,0.04377975178854566,0.07095935425737829,0.11579269431084811,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.8743919741809767,0.945,0.9061216641279033,0.8862927589651728,0.04748487539816579,0.06433419688539592,0.03195523450417006,0.0356523877640496,0.5145229674977958,0.54,0.5263775362470768,0.5190727057106367,0.12281175207513219,0.1349897115421106,0.127964721803103,0.12467039771501302,0.5077597840755735,0.9949999999999999,0.6723358659653224,0.5628670425182053,0.009115557413027177,0.015811388300841906,0.009717681288128242,0.009316885897800168,0.175,0.03,0.05075757575757574,0.08730158730158728,0.2898754521821014,0.053748384988657,0.08992523167105404,0.1514535823964798,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.698050155669733,1.0,0.8218414174180311,0.7427558144469908,0.030251202491692917,0.0,0.021026591931652086,0.02742689033839946,0.5313994053761856,0.54,0.5334664909119338,0.5317237328790927,0.05784733306160854,0.11498792207106892,0.08125485245839703,0.06561591263253069,0.4987179487179487,0.97,0.6586986167932982,0.5523769673478975,0.00945980496631568,0.025819888974716137,0.013118843982463409,0.0105219452728235,0.23499999999999996,0.05,0.08149721293199554,0.13235479797979796,0.2740246451924343,0.06236095644623235,0.09954792733054992,0.1574189451885642,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.7368362869015043,0.8400000000000001,0.783523041280076,0.754517500225231,0.052004005544096475,0.051639777949432204,0.036028314554746386,0.04388382124763012,0.4930980212597859,0.45499999999999996,0.4702519835792705,0.48298764933056654,0.06777355811954,0.1091634859587521,0.07907814005546304,0.0693522644933127,0.36666666666666664,0.035,0.06252587991718425,0.11979166666666666,0.42889464590263965,0.04116363011742823,0.0723407546359514,0.13459060724523825,0.4799062049062049,0.325,0.3838900491451528,0.43462003521504294,0.10660525426608035,0.08249579113843054,0.08295689709226435,0.09046861809052979,models/RF_Model_PHM_C04_SS_HighNBD.mdl
9,9,SS,PHM C06 simple (NT) NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_NoNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.9916666666666666,0.615,0.7589015151515152,0.8831699346405228,0.0263523138347365,0.033747427885527655,0.031363621114523274,0.028024979754222107,0.41968960391174015,0.345,0.3775764785981504,0.4014093719971866,0.09432288448577615,0.09264628073124866,0.0913666952970674,0.09223205961823627,0.5012820512820513,0.9800000000000001,0.6632573543736606,0.5555482147051914,0.011225577381678389,0.02581988897471613,0.015124371271893776,0.012451752360566783,0.5095944549092974,0.645,0.5686596775640081,0.5315656591474187,0.06640384215795657,0.11654755824698058,0.0856267909422455,0.07305772954884203,models/RF_Model_PHM_C06_SS_NoNBD.mdl
