,expt_n,environment,environment_info,data_file,model_file,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file_tested
0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9933333333333334,0.6799999999999999,0.8056726933197522,0.9080025431225123,0.02108185106778925,0.06324555320336758,0.043960568165875215,0.025093202530758744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49608636977058024,0.975,0.6575297097214104,0.5501086445853888,0.010710599147261125,0.03535533905932738,0.016866333002259357,0.012537213471122823,0.5127381790036589,0.49000000000000005,0.5002347952347952,0.5074305555555555,0.123219675732858,0.12649110640673517,0.12296996783882277,0.12257465758507659,models/RF_Model_Dasic_NoNBD.mdl
1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9526708074534161,0.9650000000000001,0.9581389531247726,0.9547023809523809,0.04209853035675454,0.024152294576982425,0.02262689613148668,0.03357588102271496,0.4903665413533834,0.485,0.4839158132888783,0.4868814407304208,0.09842160855191691,0.1225878369895553,0.10214491889705836,0.0980183582095988,0.5,0.035,0.06493506493506493,0.1339285714285714,0.4714045207910317,0.03374742788552765,0.06203228069323138,0.1256831295567453,0.5940526748456819,0.5850000000000001,0.5852519884766056,0.5895516751766752,0.10008255200565394,0.09732534213770956,0.0795909358417915,0.08846708043356655,models/RF_Model_Dasic_LowNBD.mdl
2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.8488918690005647,0.975,0.9071448215237211,0.8711821782942473,0.031503135151073856,0.026352313834736525,0.020864503494594764,0.026610622491195154,0.3914393939393939,0.18,0.24304122132482142,0.31076007326007327,0.15217660751745948,0.09775252199076787,0.12280953671425494,0.14196252556690786,0.49857934857934855,0.97,0.6584996975196612,0.5522112738682506,0.015982854067030476,0.0483045891539648,0.02393458579033839,0.018334627667633226,0.6269727018468437,0.62,0.621103996957357,0.6239823330855939,0.08311452498385406,0.11105554165971789,0.08893424116854905,0.08248401212772642,models/RF_Model_Dasic_HighNBD.mdl
3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.8362944664031622,0.985,0.9040722843048424,0.8620518609742748,0.03988490957431201,0.024152294576982435,0.026809942638615455,0.03465541194807317,0.48646960882255,0.32999999999999996,0.39202255293811267,0.4432014612064921,0.14336626726159957,0.10593499054713804,0.12033114718587609,0.1324188213942692,0.16666666666666666,0.015000000000000003,0.02691511387163561,0.05208333333333333,0.36004114991154784,0.03374742788552765,0.05969534499739382,0.11251285934735868,0.575969993605005,0.6900000000000001,0.6248555501847673,0.5939915786794263,0.0695865563116396,0.1021980647783726,0.07084374918654332,0.06732630547583933,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.9161257924222321,0.86,0.8857960878820956,0.90337275948689,0.03198664337166595,0.06146362971528592,0.03551344351049365,0.0275583584310182,0.5230514645524004,0.615,0.5611924447423297,0.5368693802513242,0.05912085386699426,0.1055409346599171,0.06586920394704544,0.05837930844554923,0.4985042735042735,0.975,0.6595648604269294,0.552453240573632,0.011748898802839277,0.048591265790377515,0.020914929867936,0.014417017381358555,0.4801221001221001,0.325,0.3843364715957328,0.4351046253741771,0.03171010145401721,0.07168604389202189,0.05811495636011857,0.04244252962868024,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.7488819747080616,0.89,0.8118737642791073,0.7725835896468196,0.05991918098281883,0.039440531887330765,0.03838024486050103,0.05113499377153165,0.5005672616109754,0.48,0.4882190468048903,0.49510479837503824,0.0857366100952744,0.0856348838577675,0.07941143721359047,0.0816771229687986,0.41666666666666663,0.030000000000000006,0.05505364201016374,0.11160714285714284,0.4664682117707407,0.03496029493900506,0.06272697352610104,0.12256100298220074,0.4994841269841269,0.22000000000000003,0.3014824393358876,0.39236021331609566,0.13492141949144226,0.08881941729649484,0.10533709172267716,0.11771135418961684,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.809395010786315,0.96,0.8773440403478135,0.83508868670159,0.0575034620588254,0.045946829173634074,0.04429133659682372,0.05173241846868194,0.5198667711598747,0.655,0.5783168533522426,0.5415431482814359,0.053825744226217886,0.07245688373094716,0.05395141520975911,0.052777080706411024,0.10317460317460314,0.035,0.05196974162491402,0.07372835497835495,0.09095298115169884,0.03374742788552765,0.04850204730050814,0.0666938601457981,0.3333333333333333,0.085,0.13395604395604394,0.2070221445221445,0.25591761791735607,0.06687467549246293,0.10244075669301533,0.15576352644434974,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.7129161228299159,0.97,0.8211284673654173,0.7524755329500594,0.04970260905250867,0.034960294939005064,0.03986402544644824,0.04614066891846548,0.45996031746031746,0.4,0.4250102569911148,0.44436150503151445,0.08670762553595102,0.08164965809277262,0.07648108835902016,0.07936932685455327,0.2,0.015000000000000003,0.0277056277056277,0.056547619047619034,0.4216370213557839,0.033747427885527655,0.061870948090558674,0.1242656053184265,0.503054481413951,0.475,0.48591738173133514,0.4953463203463203,0.08044539086106867,0.14191155304938666,0.10996612624743311,0.09159306446847591,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.8015520421607378,0.8800000000000001,0.8378515320943002,0.8154610683058958,0.060965005882980615,0.0752772652709081,0.05964839775391537,0.05881259885616003,0.4986486486486486,0.975,0.6597680642283674,0.5526244588744589,0.011306570541147616,0.03535533905932738,0.017225302348256255,0.013052557182034498,0.5091767881241565,0.99,0.6724137931034482,0.5639314658210006,0.013858509504015524,0.021081851067789217,0.015467890783169512,0.014452610069016958,0.5497624798711755,0.625,0.5827930769977437,0.5620593944099379,0.06656541745268944,0.07905694150420944,0.062311566101348366,0.06291766316768724,models/RF_Model_PHM_C04_SS_HighNBD.mdl
9,9,SS,PHM C06 simple (NT) NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_NoNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,1.0,0.655,0.786800096382639,0.9001156383606075,0.0,0.1091634859587521,0.07994913804395515,0.042358436493875586,0.4631107738151082,0.4600000000000001,0.4601556265035084,0.46158894062098704,0.06873978593794439,0.08096638534327413,0.07019730786212633,0.06810284673768054,0.4985136958821169,0.9650000000000001,0.6573328411619347,0.5518389878854995,0.015645474302464952,0.047434164902525694,0.024107497701526162,0.01822762438436865,0.5286439473838855,0.575,0.5476834762298288,0.5354215307424489,0.09873040866259698,0.11118053386771946,0.0964722155947201,0.09616447358090902,models/RF_Model_PHM_C06_SS_NoNBD.mdl
