,expt_n,environment,environment_info,data_file,model_file,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file_tested
0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1,0.655,0.790531022,0.903704958,0,0.049721446,0.037362758,0.020078345,0.540146602,0.515,0.52484011,0.533328366,0.106155796,0.143468928,0.120441521,0.110582538,0.216666667,0.02,0.036006023,0.069940476,0.368932394,0.034960295,0.062018069,0.117393015,0.5846337,0.38,0.458649414,0.525827743,0.081441992,0.085634884,0.08583139,0.083307013,models/RF_Model_Dasic_NoNBD.mdl
1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.960858966,0.945,0.952145044,0.9571815,0.05065667,0.049721446,0.042031187,0.04542281,0.386522367,0.17,0.23252174,0.302768613,0.071996315,0.042163702,0.044025761,0.048437429,0.283333333,0.025,0.043523144,0.082251082,0.41611074,0.035355339,0.058813312,0.106819577,0.43047619,0.13,0.195438516,0.285368104,0.210111609,0.08232726,0.113645038,0.149951379,models/RF_Model_Dasic_LowNBD.mdl
2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.903113812,0.965,0.932091299,0.914276302,0.02966519,0.047434165,0.023958726,0.023651028,0.524943689,0.5,0.510311244,0.518488595,0.112644742,0.11785113,0.111778389,0.111215,0.498650472,0.985,0.662049484,0.55326521,0.00965329,0.033747428,0.015493715,0.011356211,0.436547619,0.14,0.209363858,0.301486014,0.103196045,0.056764621,0.074233153,0.089235036,models/RF_Model_Dasic_HighNBD.mdl
3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.879356643,0.96,0.916857628,0.89375014,0.046582341,0.031622777,0.024097814,0.036594197,0.511119977,0.665,0.573865339,0.533592133,0.071791882,0.137537874,0.088215481,0.07417524,0.498510049,0.97,0.658480216,0.552158839,0.020176553,0.053748385,0.029421289,0.023054119,0.508950531,0.61,0.552661073,0.525142902,0.088410258,0.132916014,0.103132874,0.092930378,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.956861472,0.955,0.95480666,0.955754015,0.034577737,0.043779752,0.020483012,0.024121418,0.500247506,0.49,0.492436046,0.496348765,0.053185809,0.073786479,0.052677242,0.048583504,0.506477733,0.985,0.668926554,0.560965762,0.011028943,0.024152295,0.013996246,0.01193801,0.517741469,0.495,0.502672981,0.510612731,0.054351793,0.089597867,0.058625536,0.049609241,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.822401656,0.895,0.856726089,0.835701058,0.039505958,0.028382311,0.028452009,0.034528523,0.520020379,0.76,0.6158416,0.554286897,0.033679776,0.080966385,0.040713119,0.034140764,0.493522267,0.97,0.654139879,0.547267735,0.009225612,0.034960295,0.015666405,0.011126143,0.347803912,0.21,0.257694672,0.302877715,0.120784033,0.096609178,0.102977204,0.109677119,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.858406362,0.975,0.911947499,0.878836119,0.052377125,0.026352314,0.029575285,0.043210594,0.508035161,0.975,0.667874537,0.561805765,0.014064713,0.026352314,0.015604303,0.014520535,0.25,0.02,0.036796537,0.074404762,0.424918293,0.034960295,0.06399024,0.128010793,0.532410565,0.575,0.551501954,0.539586231,0.083208796,0.088975652,0.07970851,0.080593962,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.737264663,0.965,0.835388341,0.773528253,0.02207633,0.04116363,0.021270788,0.020336604,0.033333333,0.005,0.008695652,0.015625,0.105409255,0.015811388,0.027498067,0.049410588,0.35,0.025,0.046320346,0.095238095,0.474341649,0.035355339,0.064984749,0.131462451,0.413730159,0.125,0.189224384,0.277570346,0.187853807,0.048591266,0.07096388,0.107594396,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.842522907,0.8,0.819688176,0.832981902,0.040235073,0.066666667,0.045653456,0.03943609,0,0,0,0,0,0,0,0,0.498717949,0.985,0.662127411,0.553338619,0.007277516,0.024152295,0.0109299,0.008292584,0.425074786,0.33,0.368183527,0.399173923,0.124438659,0.131656118,0.126599277,0.124391327,models/RF_Model_PHM_C04_SS_HighNBD.mdl
9,9,SS,PHM C06 simple (NT) NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_NoNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,1,0.555,0.711580207,0.859258287,0,0.068516016,0.056681488,0.033286603,0.421541927,0.425,0.41934161,0.419703733,0.077496717,0.137941211,0.101275846,0.084973693,0.853430018,0.955,0.900308672,0.871353443,0.025119353,0.05986095,0.029705082,0.022379619,0.141666667,0.02,0.034815547,0.062996032,0.192650454,0.025819889,0.044982166,0.081867782,models/RF_Model_PHM_C06_SS_NoNBD.mdl
